Initial,Final,Cost Function,Algorithm,Objective Found,Path Cost,Generated Nodes,Visited Nodes
"(3,19)","(27,1)",c3,BFS,True,474,3682,950
"(3,19)","(27,1)",c3,Dijkstra,True,447,1841,947
"(3,19)","(27,1)",c4,DFS,True,7254,2857,727
"(3,19)","(27,1)",c4,BFS,True,401,3682,950
"(3,19)","(27,1)",c4,Dijkstra,True,360,1841,947
"(20,25)","(2,3)",c1,DFS,True,5920,4415,1136
"(20,25)","(2,3)",c1,BFS,True,400,3656,943
"(20,25)","(2,3)",c1,Dijkstra,True,400,1837,945
"(20,25)","(2,3)",c2,DFS,True,6020,4415,1136
"(20,25)","(2,3)",c2,BFS,True,490,3656,943
"(20,25)","(2,3)",c2,Dijkstra,True,490,1836,944
"(20,25)","(2,3)",c3,DFS,True,5970,4415,1136
"(20,25)","(2,3)",c3,BFS,True,439,3656,943
"(20,25)","(2,3)",c3,Dijkstra,True,415,1836,944
"(20,25)","(2,3)",c4,DFS,True,5926,4415,1136
"(20,25)","(2,3)",c4,BFS,True,391,3656,943
"(20,25)","(2,3)",c4,Dijkstra,True,346,1834,943
"(8,5)","(24,2)",c1,DFS,True,4930,1941,494
"(8,5)","(24,2)",c1,BFS,True,190,1718,440
"(8,5)","(24,2)",c1,Dijkstra,True,190,919,453
"(8,5)","(24,2)",c2,DFS,True,5010,1941,494
"(8,5)","(24,2)",c2,BFS,True,270,1718,440
"(8,5)","(24,2)",c2,Dijkstra,True,270,1113,552
"(8,5)","(24,2)",c3,DFS,True,4970,1941,494
"(8,5)","(24,2)",c3,BFS,True,226,1718,440
"(8,5)","(24,2)",c3,Dijkstra,True,218,990,490
"(8,5)","(24,2)",c4,DFS,True,4926,1941,494
"(8,5)","(24,2)",c4,BFS,True,174,1718,440
"(8,5)","(24,2)",c4,Dijkstra,True,174,916,454
"(12,25)","(17,19)",c1,DFS,True,1410,555,142
"(12,25)","(17,19)",c1,BFS,True,110,880,224
"(12,25)","(17,19)",c1,Dijkstra,True,110,424,200
"(12,25)","(17,19)",c2,DFS,True,1435,555,142
"(12,25)","(17,19)",c2,BFS,True,135,880,224
"(12,25)","(17,19)",c2,Dijkstra,True,135,434,204
