Initial,Final,Cost Function,Algorithm,Objective Found,Path Cost,Generated Nodes,Visited Nodes
"(26,10)","(17,9)",c1,BFS,True,100,618,158
"(26,10)","(17,9)",c1,Dijkstra,True,100,341,160
"(26,10)","(17,9)",c2,DFS,True,3155,1799,473
"(26,10)","(17,9)",c2,BFS,True,145,618,158
"(26,10)","(17,9)",c2,Dijkstra,True,145,481,233
"(26,10)","(17,9)",c3,DFS,True,3129,1799,473
"(26,10)","(17,9)",c3,BFS,True,121,618,158
"(26,10)","(17,9)",c3,Dijkstra,True,116,425,204
"(26,10)","(17,9)",c4,DFS,True,3114,1799,473
"(26,10)","(17,9)",c4,BFS,True,91,618,158
"(26,10)","(17,9)",c4,Dijkstra,True,84,344,163
"(14,16)","(23,25)",c1,DFS,True,2680,1055,269
"(14,16)","(23,25)",c1,BFS,True,180,2503,633
"(14,16)","(23,25)",c1,Dijkstra,True,180,1271,616
"(14,16)","(23,25)",c2,DFS,True,2725,1055,269
"(14,16)","(23,25)",c2,BFS,True,225,2503,633
"(14,16)","(23,25)",c2,Dijkstra,True,225,1273,618
"(14,16)","(23,25)",c3,DFS,True,2701,1055,269
"(14,16)","(23,25)",c3,BFS,True,201,2503,633
"(14,16)","(23,25)",c3,Dijkstra,True,188,1251,605
"(14,16)","(23,25)",c4,DFS,True,2672,1055,269
"(14,16)","(23,25)",c4,BFS,True,171,2503,633
"(14,16)","(23,25)",c4,Dijkstra,True,155,1229,592
"(17,18)","(0,6)",c1,DFS,True,5470,4926,1267
"(17,18)","(0,6)",c1,BFS,True,290,3603,927
"(17,18)","(0,6)",c1,Dijkstra,True,290,1822,934
"(17,18)","(0,6)",c2,DFS,True,5565,4926,1267
"(17,18)","(0,6)",c2,BFS,True,375,3603,927
"(17,18)","(0,6)",c2,Dijkstra,True,375,1836,944
"(17,18)","(0,6)",c3,DFS,True,5517,4926,1267
"(17,18)","(0,6)",c3,BFS,True,327,3603,927
"(17,18)","(0,6)",c3,Dijkstra,True,309,1830,938
"(17,18)","(0,6)",c4,DFS,True,5474,4926,1267
"(17,18)","(0,6)",c4,BFS,True,277,3603,927
"(17,18)","(0,6)",c4,Dijkstra,True,250,1813,928
"(10,18)","(17,10)",c1,DFS,True,2190,863,220
"(10,18)","(17,10)",c1,BFS,True,150,1720,435
"(10,18)","(17,10)",c1,Dijkstra,True,150,878,422
"(10,18)","(17,10)",c2,DFS,True,2225,863,220
"(10,18)","(17,10)",c2,BFS,True,185,1720,435
"(10,18)","(17,10)",c2,Dijkstra,True,185,896,430
"(10,18)","(17,10)",c3,DFS,True,2208,863,220
"(10,18)","(17,10)",c3,BFS,True,162,1720,435
"(10,18)","(17,10)",c3,Dijkstra,True,157,867,416
"(10,18)","(17,10)",c4,DFS,True,2185,863,220
"(10,18)","(17,10)",c4,BFS,True,150,1720,435
"(10,18)","(17,10)",c4,Dijkstra,True,127,851,408
"(12,20)","(8,17)",c1,DFS,True,1490,4579,1176
"(12,20)","(8,17)",c1,BFS,True,70,361,91
"(12,20)","(8,17)",c1,Dijkstra,True,70,222,98
"(12,20)","(8,17)",c2,DFS,True,1520,4579,1176
"(12,20)","(8,17)",c2,BFS,True,90,361,91
"(12,20)","(8,17)",c2,Dijkstra,True,90,235,104
"(12,20)","(8,17)",c3,DFS,True,1506,4579,1176
"(12,20)","(8,17)",c3,BFS,True,76,361,91
"(12,20)","(8,17)",c3,Dijkstra,True,74,229,101
"(12,20)","(8,17)",c4,DFS,True,1495,4579,1176
"(12,20)","(8,17)",c4,BFS,True,76,361,91
"(12,20)","(8,17)",c4,Dijkstra,True,64,207,91
"(19,3)","(25,1)",c1,DFS,True,1840,725,185
"(19,3)","(25,1)",c1,BFS,True,80,435,112
"(19,3)","(25,1)",c1,Dijkstra,True,80,221,103
"(19,3)","(25,1)",c2,DFS,True,1870,725,185
"(19,3)","(25,1)",c2,BFS,True,110,435,112
"(19,3)","(25,1)",c2,Dijkstra,True,110,263,123
"(19,3)","(25,1)",c3,DFS,True,1855,725,185
"(19,3)","(25,1)",c3,BFS,True,89,435,112
"(19,3)","(25,1)",c3,Dijkstra,True,89,243,114
"(19,3)","(25,1)",c4,DFS,True,1839,725,185
"(19,3)","(25,1)",c4,BFS,True,83,435,112
"(19,3)","(25,1)",c4,Dijkstra,True,71,224,105
"(24,11)","(22,4)",c1,DFS,True,1090,1456,385
"(24,11)","(22,4)",c1,BFS,True,90,612,155
"(24,11)","(22,4)",c1,Dijkstra,True,90,339,157
"(24,11)","(22,4)",c2,DFS,True,1110,1456,385
"(24,11)","(22,4)",c2,BFS,True,100,612,155
"(24,11)","(22,4)",c2,Dijkstra,True,100,312,141
"(24,11)","(22,4)",c3,DFS,True,1104,1456,385
"(24,11)","(22,4)",c3,BFS,True,95,612,155
"(24,11)","(22,4)",c3,Dijkstra,True,91,321,147
"(24,11)","(22,4)",c4,DFS,True,1096,1456,385
"(24,11)","(22,4)",c4,BFS,True,95,612,155
"(24,11)","(22,4)",c4,Dijkstra,True,81,357,167
"(7,16)","(7,5)",c1,DFS,True,510,5323,1364
"(7,16)","(7,5)",c1,BFS,True,110,980,248
"(7,16)","(7,5)",c1,Dijkstra,True,110,504,236
"(7,16)","(7,5)",c2,DFS,True,520,5323,1364
"(7,16)","(7,5)",c2,BFS,True,110,980,248
"(7,16)","(7,5)",c2,Dijkstra,True,110,366,166
"(7,16)","(7,5)",c3,DFS,True,515,5323,1364
"(7,16)","(7,5)",c3,BFS,True,110,980,248
"(7,16)","(7,5)",c3,Dijkstra,True,110,443,207
"(7,16)","(7,5)",c4,DFS,True,510,5323,1364
"(7,16)","(7,5)",c4,BFS,True,110,980,248
"(7,16)","(7,5)",c4,Dijkstra,True,110,617,295
"(11,21)","(9,25)",c1,DFS,True,780,4465,1147
"(11,21)","(9,25)",c1,BFS,True,60,277,70
"(11,21)","(9,25)",c1,Dijkstra,True,60,163,71
"(11,21)","(9,25)",c2,DFS,True,800,4465,1147
"(11,21)","(9,25)",c2,BFS,True,70,277,70
"(11,21)","(9,25)",c2,Dijkstra,True,70,151,65
"(11,21)","(9,25)",c3,DFS,True,788,4465,1147
"(11,21)","(9,25)",c3,BFS,True,65,277,70
"(11,21)","(9,25)",c3,Dijkstra,True,61,161,69
"(11,21)","(9,25)",c4,DFS,True,789,4465,1147
"(11,21)","(9,25)",c4,BFS,True,65,277,70
"(11,21)","(9,25)",c4,Dijkstra,True,57,159,69
"(30,7)","(8,6)",c1,DFS,True,6810,2677,689
"(30,7)","(8,6)",c1,BFS,True,230,1595,411
"(30,7)","(8,6)",c1,Dijkstra,True,230,885,440
"(30,7)","(8,6)",c2,DFS,True,6920,2677,689
"(30,7)","(8,6)",c2,BFS,True,340,1595,411
"(30,7)","(8,6)",c2,Dijkstra,True,340,1018,511
"(30,7)","(8,6)",c3,DFS,True,6869,2677,689
"(30,7)","(8,6)",c3,BFS,True,281,1595,411
"(30,7)","(8,6)",c3,Dijkstra,True,277,998,500
"(30,7)","(8,6)",c4,DFS,True,6810,2677,689
"(30,7)","(8,6)",c4,BFS,True,214,1595,411
"(30,7)","(8,6)",c4,Dijkstra,True,207,890,443
"(4,18)","(23,27)",c1,DFS,True,5740,2259,575
"(4,18)","(23,27)",c1,BFS,True,280,2959,758
"(4,18)","(23,27)",c1,Dijkstra,True,280,1509,759
"(4,18)","(23,27)",c2,DFS,True,5835,2259,575
"(4,18)","(23,27)",c2,BFS,True,375,2959,758
"(4,18)","(23,27)",c2,Dijkstra,True,375,1494,752
"(4,18)","(23,27)",c3,DFS,True,5788,2259,575
"(4,18)","(23,27)",c3,BFS,True,322,2959,758
"(4,18)","(23,27)",c3,Dijkstra,True,307,1482,745
"(4,18)","(23,27)",c4,DFS,True,5731,2259,575
"(4,18)","(23,27)",c4,BFS,True,276,2959,758
"(4,18)","(23,27)",c4,Dijkstra,True,242,1492,749
"(26,17)","(5,8)",c1,DFS,True,6740,3259,844
"(26,17)","(5,8)",c1,BFS,True,300,3167,812
"(26,17)","(5,8)",c1,Dijkstra,True,300,1618,818
"(26,17)","(5,8)",c2,DFS,True,6855,3259,844
"(26,17)","(5,8)",c2,BFS,True,405,3167,812
"(26,17)","(5,8)",c2,Dijkstra,True,405,1610,813
"(26,17)","(5,8)",c3,DFS,True,6801,3259,844
"(26,17)","(5,8)",c3,BFS,True,351,3167,812
"(26,17)","(5,8)",c3,Dijkstra,True,330,1600,806
"(26,17)","(5,8)",c4,DFS,True,6742,3259,844
"(26,17)","(5,8)",c4,BFS,True,287,3167,812
"(26,17)","(5,8)",c4,Dijkstra,True,265,1605,810
