Initial,Final,Cost Function,Algorithm,Objective Found,Path Cost,Generated Nodes,Visited Nodes,Heuristic
"(1,25)","(6,19)",c1,Dijkstra,True,110,275,135,
"(1,25)","(6,19)",c1,A,True,110,189,49,h1
"(1,25)","(6,19)",c1,A,True,110,165,42,h2
"(1,25)","(6,19)",c2,Dijkstra,True,135,257,127,
"(1,25)","(6,19)",c2,A,True,135,240,63,h1
"(1,25)","(6,19)",c2,A,True,135,202,53,h2
"(1,25)","(6,19)",c3,Dijkstra,True,113,254,125,
"(1,25)","(6,19)",c3,A,True,113,168,44,h1
"(1,25)","(6,19)",c3,A,True,113,105,27,h2
"(1,25)","(6,19)",c4,Dijkstra,True,91,262,129,
"(1,25)","(6,19)",c4,A,True,95,93,24,h1
"(1,25)","(6,19)",c4,A,True,100,45,12,h2
"(11,8)","(8,3)",c1,Dijkstra,True,80,267,119,
"(11,8)","(8,3)",c1,A,True,80,109,28,h1
"(11,8)","(8,3)",c1,A,True,80,93,24,h2
"(11,8)","(8,3)",c2,Dijkstra,True,95,273,123,
"(11,8)","(8,3)",c2,A,True,95,121,31,h1
"(11,8)","(8,3)",c2,A,True,95,93,24,h2
"(11,8)","(8,3)",c3,Dijkstra,True,82,282,126,
"(11,8)","(8,3)",c3,A,True,82,101,26,h1
"(11,8)","(8,3)",c3,A,True,82,73,19,h2
"(11,8)","(8,3)",c4,Dijkstra,True,71,273,122,
"(11,8)","(8,3)",c4,A,True,74,61,16,h1
"(11,8)","(8,3)",c4,A,True,77,33,9,h2
"(28,2)","(22,13)",c1,Dijkstra,True,170,474,236,
"(28,2)","(22,13)",c1,A,True,170,413,106,h1
"(28,2)","(22,13)",c1,A,True,170,333,84,h2
"(28,2)","(22,13)",c2,Dijkstra,True,200,436,216,
"(28,2)","(22,13)",c2,A,True,200,474,123,h1
"(28,2)","(22,13)",c2,A,True,200,405,102,h2
"(28,2)","(22,13)",c3,Dijkstra,True,173,433,215,
"(28,2)","(22,13)",c3,A,True,173,377,97,h1
"(28,2)","(22,13)",c3,A,True,173,213,54,h2
"(28,2)","(22,13)",c4,Dijkstra,True,149,444,221,
"(28,2)","(22,13)",c4,A,True,149,261,66,h1
"(28,2)","(22,13)",c4,A,True,155,69,18,h2
"(1,30)","(1,8)",c1,Dijkstra,True,220,589,295,
"(1,30)","(1,8)",c1,A,True,220,88,23,h1
"(1,30)","(1,8)",c1,A,True,220,88,23,h2
"(1,30)","(1,8)",c2,Dijkstra,True,220,404,202,
"(1,30)","(1,8)",c2,A,True,220,88,23,h1
"(1,30)","(1,8)",c2,A,True,220,88,23,h2
"(1,30)","(1,8)",c3,Dijkstra,True,220,517,259,
"(1,30)","(1,8)",c3,A,True,220,88,23,h1
"(1,30)","(1,8)",c3,A,True,220,88,23,h2
"(1,30)","(1,8)",c4,Dijkstra,True,220,707,354,
"(1,30)","(1,8)",c4,A,True,220,88,23,h1
"(1,30)","(1,8)",c4,A,True,220,88,23,h2
"(21,30)","(2,19)",c1,Dijkstra,True,300,1324,663,
"(21,30)","(2,19)",c1,A,True,300,1029,264,h1
"(21,30)","(2,19)",c1,A,True,300,937,240,h2
"(21,30)","(2,19)",c2,Dijkstra,True,395,1521,769,
"(21,30)","(2,19)",c2,A,True,395,1506,384,h1
"(21,30)","(2,19)",c2,A,True,395,1262,322,h2
"(21,30)","(2,19)",c3,Dijkstra,True,324,1435,721,
"(21,30)","(2,19)",c3,A,True,324,1102,282,h1
"(21,30)","(2,19)",c3,A,True,324,823,210,h2
"(21,30)","(2,19)",c4,Dijkstra,True,262,1274,639,
"(21,30)","(2,19)",c4,A,True,263,730,188,h1
"(21,30)","(2,19)",c4,A,True,263,200,51,h2
"(18,10)","(18,7)",c1,Dijkstra,True,30,62,25,
"(18,10)","(18,7)",c1,A,True,30,13,4,h1
