Initial,Final,Cost Function,Algorithm,Objective Found,Path Cost,Generated Nodes,Visited Nodes,Heuristic
"(24,26)","(5,2)",c3,GBFS,True,472,131,44,h2
"(24,26)","(5,2)",c3,A,True,446,1509,378,h2
"(24,26)","(5,2)",c4,GBFS,True,426,131,44,h2
"(24,26)","(5,2)",c4,A,True,381,213,54,h2
"(3,29)","(15,17)",c1,GBFS,True,240,74,25,h1
"(3,29)","(15,17)",c1,A,True,240,798,205,h1
"(3,29)","(15,17)",c2,GBFS,True,300,74,25,h1
"(3,29)","(15,17)",c2,A,True,300,975,251,h1
"(3,29)","(15,17)",c3,GBFS,True,272,74,25,h1
"(3,29)","(15,17)",c3,A,True,251,785,202,h1
"(3,29)","(15,17)",c4,GBFS,True,234,74,25,h1
"(3,29)","(15,17)",c4,A,True,204,492,125,h1
"(3,29)","(15,17)",c1,GBFS,True,240,74,25,h2
"(3,29)","(15,17)",c1,A,True,240,673,169,h2
"(3,29)","(15,17)",c2,GBFS,True,300,74,25,h2
"(3,29)","(15,17)",c2,A,True,300,871,221,h2
"(3,29)","(15,17)",c3,GBFS,True,264,74,25,h2
"(3,29)","(15,17)",c3,A,True,251,501,126,h2
"(3,29)","(15,17)",c4,GBFS,True,222,74,25,h2
"(3,29)","(15,17)",c4,A,True,210,117,30,h2
"(14,21)","(23,1)",c1,GBFS,True,290,89,30,h1
"(14,21)","(23,1)",c1,A,True,290,1133,284,h1
"(14,21)","(23,1)",c2,GBFS,True,335,89,30,h1
"(14,21)","(23,1)",c2,A,True,335,1337,337,h1
"(14,21)","(23,1)",c3,GBFS,True,308,89,30,h1
"(14,21)","(23,1)",c3,A,True,294,1053,264,h1
"(14,21)","(23,1)",c4,GBFS,True,289,89,30,h1
"(14,21)","(23,1)",c4,A,True,257,777,195,h1
"(14,21)","(23,1)",c1,GBFS,True,290,89,30,h2
"(14,21)","(23,1)",c1,A,True,290,837,210,h2
"(14,21)","(23,1)",c2,GBFS,True,335,89,30,h2
"(14,21)","(23,1)",c2,A,True,335,978,247,h2
"(14,21)","(23,1)",c3,GBFS,True,311,89,30,h2
"(14,21)","(23,1)",c3,A,True,294,537,135,h2
"(14,21)","(23,1)",c4,GBFS,True,281,89,30,h2
"(14,21)","(23,1)",c4,A,True,266,117,30,h2
"(26,11)","(28,8)",c1,GBFS,True,50,17,6,h1
"(26,11)","(28,8)",c1,A,True,50,45,12,h1
"(26,11)","(28,8)",c2,GBFS,True,60,17,6,h1
"(26,11)","(28,8)",c2,A,True,60,53,14,h1
"(26,11)","(28,8)",c3,GBFS,True,52,17,6,h1
"(26,11)","(28,8)",c3,A,True,51,37,10,h1
"(26,11)","(28,8)",c4,GBFS,True,52,17,6,h1
"(26,11)","(28,8)",c4,A,True,49,33,9,h1
"(26,11)","(28,8)",c1,GBFS,True,50,17,6,h2
"(26,11)","(28,8)",c1,A,True,50,45,12,h2
"(26,11)","(28,8)",c2,GBFS,True,60,17,6,h2
"(26,11)","(28,8)",c2,A,True,60,45,12,h2
"(26,11)","(28,8)",c3,GBFS,True,55,17,6,h2
"(26,11)","(28,8)",c3,A,True,51,25,7,h2
"(26,11)","(28,8)",c4,GBFS,True,55,17,6,h2
"(26,11)","(28,8)",c4,A,True,49,21,6,h2
"(26,23)","(11,5)",c1,GBFS,True,330,101,34,h1
"(26,23)","(11,5)",c1,A,True,330,1596,402,h1
"(26,23)","(11,5)",c2,GBFS,True,405,101,34,h1
"(26,23)","(11,5)",c2,A,True,405,2030,516,h1
"(26,23)","(11,5)",c3,GBFS,True,361,101,34,h1
"(26,23)","(11,5)",c3,A,True,344,1637,413,h1
"(26,23)","(11,5)",c4,GBFS,True,321,101,34,h1
"(26,23)","(11,5)",c4,A,True,282,1017,255,h1
"(26,23)","(11,5)",c1,GBFS,True,330,101,34,h2
"(26,23)","(11,5)",c1,A,True,330,1213,304,h2
"(26,23)","(11,5)",c2,GBFS,True,405,101,34,h2
"(26,23)","(11,5)",c2,A,True,405,1657,415,h2
"(26,23)","(11,5)",c3,GBFS,True,366,101,34,h2
"(26,23)","(11,5)",c3,A,True,344,957,240,h2
"(26,23)","(11,5)",c4,GBFS,True,312,101,34,h2
"(26,23)","(11,5)",c4,A,True,291,153,39,h2
"(26,12)","(20,9)",c1,GBFS,True,90,29,10,h1
"(26,12)","(20,9)",c1,A,True,90,129,33,h1
"(26,12)","(20,9)",c2,GBFS,True,120,29,10,h1
"(26,12)","(20,9)",c2,A,True,120,193,49,h1
"(26,12)","(20,9)",c3,GBFS,True,102,29,10,h1
"(26,12)","(20,9)",c3,A,True,99,141,36,h1
"(26,12)","(20,9)",c4,GBFS,True,90,29,10,h1
"(26,12)","(20,9)",c4,A,True,81,77,20,h1
"(26,12)","(20,9)",c1,GBFS,True,90,29,10,h2
"(26,12)","(20,9)",c1,A,True,90,109,28,h2
"(26,12)","(20,9)",c2,GBFS,True,120,29,10,h2
"(26,12)","(20,9)",c2,A,True,120,149,38,h2
"(26,12)","(20,9)",c3,GBFS,True,99,29,10,h2
"(26,12)","(20,9)",c3,A,True,99,109,28,h2
"(26,12)","(20,9)",c4,GBFS,True,93,29,10,h2
"(26,12)","(20,9)",c4,A,True,75,37,10,h2
"(4,30)","(12,15)",c1,GBFS,True,230,70,24,h1
"(4,30)","(12,15)",c1,A,True,230,677,173,h1
"(4,30)","(12,15)",c2,GBFS,True,270,70,24,h1
"(4,30)","(12,15)",c2,A,True,270,797,205,h1
"(4,30)","(12,15)",c3,GBFS,True,246,70,24,h1
"(4,30)","(12,15)",c3,A,True,234,634,162,h1
"(4,30)","(12,15)",c4,GBFS,True,218,70,24,h1
"(4,30)","(12,15)",c4,A,True,200,428,109,h1
"(4,30)","(12,15)",c1,GBFS,True,230,62,24,h2
"(4,30)","(12,15)",c1,A,True,230,564,144,h2
"(4,30)","(12,15)",c2,GBFS,True,270,62,24,h2
"(4,30)","(12,15)",c2,A,True,270,651,166,h2
"(4,30)","(12,15)",c3,GBFS,True,246,62,24,h2
"(4,30)","(12,15)",c3,A,True,234,367,93,h2
"(4,30)","(12,15)",c4,GBFS,True,226,62,24,h2
"(4,30)","(12,15)",c4,A,True,208,92,24,h2
"(1,18)","(2,16)",c1,GBFS,True,30,11,4,h1
"(1,18)","(2,16)",c1,A,True,30,21,6,h1
"(1,18)","(2,16)",c2,GBFS,True,35,11,4,h1
"(1,18)","(2,16)",c2,A,True,35,21,6,h1
"(1,18)","(2,16)",c3,GBFS,True,32,11,4,h1
"(1,18)","(2,16)",c3,A,True,31,13,4,h1
"(1,18)","(2,16)",c4,GBFS,True,32,11,4,h1
"(1,18)","(2,16)",c4,A,True,31,13,4,h1
"(1,18)","(2,16)",c1,GBFS,True,30,11,4,h2
"(1,18)","(2,16)",c1,A,True,30,21,6,h2
"(1,18)","(2,16)",c2,GBFS,True,35,11,4,h2
"(1,18)","(2,16)",c2,A,True,35,21,6,h2
"(1,18)","(2,16)",c3,GBFS,True,33,11,4,h2
"(1,18)","(2,16)",c3,A,True,31,13,4,h2
"(1,18)","(2,16)",c4,GBFS,True,33,11,4,h2
"(1,18)","(2,16)",c4,A,True,31,13,4,h2
"(2,19)","(21,13)",c1,GBFS,True,250,77,26,h1
"(2,19)","(21,13)",c1,A,True,250,747,188,h1
"(2,19)","(21,13)",c2,GBFS,True,345,77,26,h1
"(2,19)","(21,13)",c2,A,True,345,1360,345,h1
"(2,19)","(21,13)",c3,GBFS,True,289,77,26,h1
"(2,19)","(21,13)",c3,A,True,280,933,236,h1
"(2,19)","(21,13)",c4,GBFS,True,228,77,26,h1
"(2,19)","(21,13)",c4,A,True,218,365,92,h1
"(2,19)","(21,13)",c1,GBFS,True,250,77,26,h2
"(2,19)","(21,13)",c1,A,True,250,557,140,h2
"(2,19)","(21,13)",c2,GBFS,True,345,77,26,h2
"(2,19)","(21,13)",c2,A,True,345,962,244,h2
"(2,19)","(21,13)",c3,GBFS,True,292,77,26,h2
"(2,19)","(21,13)",c3,A,True,280,565,142,h2
"(2,19)","(21,13)",c4,GBFS,True,246,77,26,h2
"(2,19)","(21,13)",c4,A,True,213,161,41,h2
"(29,16)","(12,18)",c1,GBFS,True,190,59,20,h1
"(29,16)","(12,18)",c1,A,True,190,269,68,h1
"(29,16)","(12,18)",c2,GBFS,True,275,59,20,h1
"(29,16)","(12,18)",c2,A,True,275,747,191,h1
"(29,16)","(12,18)",c3,GBFS,True,228,59,20,h1
"(29,16)","(12,18)",c3,A,True,222,467,119,h1
"(29,16)","(12,18)",c4,GBFS,True,178,59,20,h1
"(29,16)","(12,18)",c4,A,True,177,165,42,h1
"(29,16)","(12,18)",c1,GBFS,True,190,59,20,h2
"(29,16)","(12,18)",c1,A,True,190,213,54,h2
"(29,16)","(12,18)",c2,GBFS,True,275,59,20,h2
"(29,16)","(12,18)",c2,A,True,275,496,127,h2
"(29,16)","(12,18)",c3,GBFS,True,227,59,20,h2
"(29,16)","(12,18)",c3,A,True,222,270,69,h2
"(29,16)","(12,18)",c4,GBFS,True,177,59,20,h2
"(29,16)","(12,18)",c4,A,True,181,77,20,h2
"(30,27)","(12,27)",c1,GBFS,True,180,55,19,h1
"(30,27)","(12,27)",c1,A,True,180,72,19,h1
"(30,27)","(12,27)",c2,GBFS,True,270,55,19,h1
"(30,27)","(12,27)",c2,A,True,270,467,123,h1
"(30,27)","(12,27)",c3,GBFS,True,219,55,19,h1
"(30,27)","(12,27)",c3,A,True,219,308,81,h1
"(30,27)","(12,27)",c4,GBFS,True,171,55,19,h1
"(30,27)","(12,27)",c4,A,True,171,80,21,h1
"(30,27)","(12,27)",c1,GBFS,True,180,55,19,h2
"(30,27)","(12,27)",c1,A,True,180,72,19,h2
"(30,27)","(12,27)",c2,GBFS,True,270,55,19,h2
"(30,27)","(12,27)",c2,A,True,270,334,88,h2
"(30,27)","(12,27)",c3,GBFS,True,219,55,19,h2
"(30,27)","(12,27)",c3,A,True,219,166,43,h2
"(30,27)","(12,27)",c4,GBFS,True,171,55,19,h2
"(30,27)","(12,27)",c4,A,True,171,72,19,h2
"(8,6)","(28,17)",c1,GBFS,True,310,95,32,h1
"(8,6)","(28,17)",c1,A,True,310,1361,341,h1
"(8,6)","(28,17)",c2,GBFS,True,410,95,32,h1
"(8,6)","(28,17)",c2,A,True,410,2099,529,h1
"(8,6)","(28,17)",c3,GBFS,True,351,95,32,h1
"(8,6)","(28,17)",c3,A,True,337,1532,385,h1
"(8,6)","(28,17)",c4,GBFS,True,301,95,32,h1
"(8,6)","(28,17)",c4,A,True,268,897,225,h1
"(8,6)","(28,17)",c1,GBFS,True,310,95,32,h2
"(8,6)","(28,17)",c1,A,True,310,1005,252,h2
"(8,6)","(28,17)",c2,GBFS,True,410,95,32,h2
"(8,6)","(28,17)",c2,A,True,410,1605,402,h2
"(8,6)","(28,17)",c3,GBFS,True,356,95,32,h2
"(8,6)","(28,17)",c3,A,True,337,925,232,h2
"(8,6)","(28,17)",c4,GBFS,True,301,95,32,h2
"(8,6)","(28,17)",c4,A,True,268,205,52,h2
"(26,5)","(19,19)",c1,GBFS,True,210,65,22,h1
"(26,5)","(19,19)",c1,A,True,210,621,156,h1
"(26,5)","(19,19)",c2,GBFS,True,245,65,22,h1
"(26,5)","(19,19)",c2,A,True,245,761,192,h1
"(26,5)","(19,19)",c3,GBFS,True,226,65,22,h1
"(26,5)","(19,19)",c3,A,True,214,597,150,h1
"(26,5)","(19,19)",c4,GBFS,True,201,65,22,h1
"(26,5)","(19,19)",c4,A,True,184,369,93,h1
"(26,5)","(19,19)",c1,GBFS,True,210,65,22,h2
"(26,5)","(19,19)",c1,A,True,210,477,120,h2
"(26,5)","(19,19)",c2,GBFS,True,245,65,22,h2
"(26,5)","(19,19)",c2,A,True,245,569,143,h2
"(26,5)","(19,19)",c3,GBFS,True,222,65,22,h2
"(26,5)","(19,19)",c3,A,True,214,365,92,h2
"(26,5)","(19,19)",c4,GBFS,True,210,65,22,h2
"(26,5)","(19,19)",c4,A,True,191,85,22,h2
"(7,15)","(9,5)",c1,GBFS,True,120,38,13,h1
"(7,15)","(9,5)",c1,A,True,120,157,40,h1
"(7,15)","(9,5)",c2,GBFS,True,130,38,13,h1
"(7,15)","(9,5)",c2,A,True,130,165,42,h1
"(7,15)","(9,5)",c3,GBFS,True,126,38,13,h1
"(7,15)","(9,5)",c3,A,True,120,125,32,h1
"(7,15)","(9,5)",c4,GBFS,True,112,38,13,h1
"(7,15)","(9,5)",c4,A,True,111,81,21,h1
"(7,15)","(9,5)",c1,GBFS,True,120,38,13,h2
"(7,15)","(9,5)",c1,A,True,120,129,33,h2
"(7,15)","(9,5)",c2,GBFS,True,130,38,13,h2
"(7,15)","(9,5)",c2,A,True,130,129,33,h2
"(7,15)","(9,5)",c3,GBFS,True,125,38,13,h2
"(7,15)","(9,5)",c3,A,True,120,85,22,h2
"(7,15)","(9,5)",c4,GBFS,True,125,38,13,h2
"(7,15)","(9,5)",c4,A,True,119,49,13,h2
"(23,4)","(16,29)",c1,GBFS,True,320,98,33,h1
"(23,4)","(16,29)",c1,A,True,320,1149,288,h1
"(23,4)","(16,29)",c2,GBFS,True,355,98,33,h1
"(23,4)","(16,29)",c2,A,True,355,1304,329,h1
"(23,4)","(16,29)",c3,GBFS,True,341,98,33,h1
"(23,4)","(16,29)",c3,A,True,322,1073,269,h1
"(23,4)","(16,29)",c4,GBFS,True,320,98,33,h1
"(23,4)","(16,29)",c4,A,True,290,757,190,h1
"(23,4)","(16,29)",c1,GBFS,True,320,98,33,h2
"(23,4)","(16,29)",c1,A,True,320,829,208,h2
"(23,4)","(16,29)",c2,GBFS,True,355,98,33,h2
"(23,4)","(16,29)",c2,A,True,355,961,242,h2
"(23,4)","(16,29)",c3,GBFS,True,332,98,33,h2
"(23,4)","(16,29)",c3,A,True,322,561,141,h2
"(23,4)","(16,29)",c4,GBFS,True,320,98,33,h2
"(23,4)","(16,29)",c4,A,True,301,129,33,h2
"(5,16)","(13,18)",c1,GBFS,True,100,32,11,h1
"(5,16)","(13,18)",c1,A,True,100,125,32,h1
"(5,16)","(13,18)",c2,GBFS,True,140,32,11,h1
"(5,16)","(13,18)",c2,A,True,140,245,62,h1
"(5,16)","(13,18)",c3,GBFS,True,117,32,11,h1
"(5,16)","(13,18)",c3,A,True,112,153,39,h1
"(5,16)","(13,18)",c4,GBFS,True,95,32,11,h1
"(5,16)","(13,18)",c4,A,True,88,69,18,h1
"(5,16)","(13,18)",c1,GBFS,True,100,32,11,h2
"(5,16)","(13,18)",c1,A,True,100,105,27,h2
"(5,16)","(13,18)",c2,GBFS,True,140,32,11,h2
"(5,16)","(13,18)",c2,A,True,140,165,42,h2
"(5,16)","(13,18)",c3,GBFS,True,116,32,11,h2
"(5,16)","(13,18)",c3,A,True,112,97,25,h2
"(5,16)","(13,18)",c4,GBFS,True,96,32,11,h2
"(5,16)","(13,18)",c4,A,True,82,41,11,h2
"(25,4)","(3,7)",c1,GBFS,True,250,77,26,h1
"(25,4)","(3,7)",c1,A,True,250,501,126,h1
"(25,4)","(3,7)",c2,GBFS,True,360,77,26,h1
"(25,4)","(3,7)",c2,A,True,360,1212,309,h1
"(25,4)","(3,7)",c3,GBFS,True,298,77,26,h1
"(25,4)","(3,7)",c3,A,True,292,822,209,h1
"(25,4)","(3,7)",c4,GBFS,True,237,77,26,h1
"(25,4)","(3,7)",c4,A,True,227,221,56,h1
"(25,4)","(3,7)",c1,GBFS,True,250,77,26,h2
"(25,4)","(3,7)",c1,A,True,250,365,92,h2
"(25,4)","(3,7)",c2,GBFS,True,360,77,26,h2
"(25,4)","(3,7)",c2,A,True,360,913,231,h2
"(25,4)","(3,7)",c3,GBFS,True,301,77,26,h2
"(25,4)","(3,7)",c3,A,True,292,505,127,h2
"(25,4)","(3,7)",c4,GBFS,True,234,77,26,h2
"(25,4)","(3,7)",c4,A,True,225,101,26,h2
"(9,12)","(28,18)",c1,GBFS,True,250,77,26,h1
"(9,12)","(28,18)",c1,A,True,250,749,188,h1
"(9,12)","(28,18)",c2,GBFS,True,345,77,26,h1
"(9,12)","(28,18)",c2,A,True,345,1485,372,h1
"(9,12)","(28,18)",c3,GBFS,True,289,77,26,h1
"(9,12)","(28,18)",c3,A,True,280,957,240,h1
"(9,12)","(28,18)",c4,GBFS,True,228,77,26,h1
"(9,12)","(28,18)",c4,A,True,218,365,92,h1
"(9,12)","(28,18)",c1,GBFS,True,250,77,26,h2
"(9,12)","(28,18)",c1,A,True,250,557,140,h2
"(9,12)","(28,18)",c2,GBFS,True,345,77,26,h2
"(9,12)","(28,18)",c2,A,True,345,1009,253,h2
"(9,12)","(28,18)",c3,GBFS,True,292,77,26,h2
"(9,12)","(28,18)",c3,A,True,280,565,142,h2
"(9,12)","(28,18)",c4,GBFS,True,246,77,26,h2
"(9,12)","(28,18)",c4,A,True,213,161,41,h2
"(22,27)","(8,7)",c1,GBFS,True,340,104,35,h1
"(22,27)","(8,7)",c1,A,True,340,1655,417,h1
"(22,27)","(8,7)",c2,GBFS,True,410,104,35,h1
"(22,27)","(8,7)",c2,A,True,410,2050,517,h1
"(22,27)","(8,7)",c3,GBFS,True,384,104,35,h1
"(22,27)","(8,7)",c3,A,True,350,1614,407,h1
