Initial,Final,Cost Function,Algorithm,Objective Found,Path Cost,Generated Nodes,Visited Nodes,Heuristic
"(20,14)","(5,21)",c1,GBFS,True,220,68,23,h1
"(20,14)","(5,21)",c1,A,True,220,665,167,h1
"(20,14)","(5,21)",c2,GBFS,True,295,68,23,h1
"(20,14)","(5,21)",c2,A,True,295,1149,288,h1
"(20,14)","(5,21)",c3,GBFS,True,259,68,23,h1
"(20,14)","(5,21)",c3,A,True,241,773,194,h1
"(20,14)","(5,21)",c4,GBFS,True,212,68,23,h1
"(20,14)","(5,21)",c4,A,True,189,377,95,h1
"(20,14)","(5,21)",c1,GBFS,True,220,68,23,h2
"(20,14)","(5,21)",c1,A,True,220,509,128,h2
"(20,14)","(5,21)",c2,GBFS,True,295,68,23,h2
"(20,14)","(5,21)",c2,A,True,295,821,206,h2
"(20,14)","(5,21)",c3,GBFS,True,256,68,23,h2
"(20,14)","(5,21)",c3,A,True,241,473,119,h2
"(20,14)","(5,21)",c4,GBFS,True,202,68,23,h2
"(20,14)","(5,21)",c4,A,True,184,137,35,h2
"(16,9)","(20,25)",c1,GBFS,True,200,62,21,h1
"(16,9)","(20,25)",c1,A,True,200,441,111,h1
"(16,9)","(20,25)",c2,GBFS,True,220,62,21,h1
"(16,9)","(20,25)",c2,A,True,220,493,124,h1
"(16,9)","(20,25)",c3,GBFS,True,212,62,21,h1
"(16,9)","(20,25)",c3,A,True,201,393,99,h1
"(16,9)","(20,25)",c4,GBFS,True,208,62,21,h1
"(16,9)","(20,25)",c4,A,True,184,317,80,h1
"(16,9)","(20,25)",c1,GBFS,True,200,62,21,h2
"(16,9)","(20,25)",c1,A,True,200,337,85,h2
"(16,9)","(20,25)",c2,GBFS,True,220,62,21,h2
"(16,9)","(20,25)",c2,A,True,220,345,87,h2
"(16,9)","(20,25)",c3,GBFS,True,206,62,21,h2
"(16,9)","(20,25)",c3,A,True,201,229,58,h2
"(16,9)","(20,25)",c4,GBFS,True,206,62,21,h2
"(16,9)","(20,25)",c4,A,True,194,81,21,h2
"(5,12)","(23,4)",c1,GBFS,True,260,80,27,h1
"(5,12)","(23,4)",c1,A,True,260,905,227,h1
"(5,12)","(23,4)",c2,GBFS,True,350,80,27,h1
"(5,12)","(23,4)",c2,A,True,350,1516,384,h1
"(5,12)","(23,4)",c3,GBFS,True,303,80,27,h1
"(5,12)","(23,4)",c3,A,True,287,1105,277,h1
"(5,12)","(23,4)",c4,GBFS,True,246,80,27,h1
"(5,12)","(23,4)",c4,A,True,227,533,134,h1
"(5,12)","(23,4)",c1,GBFS,True,260,80,27,h2
"(5,12)","(23,4)",c1,A,True,260,681,171,h2
"(5,12)","(23,4)",c2,GBFS,True,350,80,27,h2
"(5,12)","(23,4)",c2,A,True,350,1114,280,h2
"(5,12)","(23,4)",c3,GBFS,True,299,80,27,h2
"(5,12)","(23,4)",c3,A,True,287,689,173,h2
"(5,12)","(23,4)",c4,GBFS,True,251,80,27,h2
"(5,12)","(23,4)",c4,A,True,221,125,32,h2
"(23,27)","(22,6)",c1,GBFS,True,220,68,23,h1
"(23,27)","(22,6)",c1,A,True,220,181,46,h1
"(23,27)","(22,6)",c2,GBFS,True,225,68,23,h1
"(23,27)","(22,6)",c2,A,True,225,181,46,h1
"(23,27)","(22,6)",c3,GBFS,True,225,68,23,h1
"(23,27)","(22,6)",c3,A,True,220,113,29,h1
"(23,27)","(22,6)",c4,GBFS,True,216,68,23,h1
"(23,27)","(22,6)",c4,A,True,215,105,27,h1
"(23,27)","(22,6)",c1,GBFS,True,220,68,23,h2
"(23,27)","(22,6)",c1,A,True,220,173,44,h2
"(23,27)","(22,6)",c2,GBFS,True,225,68,23,h2
"(23,27)","(22,6)",c2,A,True,225,173,44,h2
"(23,27)","(22,6)",c3,GBFS,True,223,68,23,h2
"(23,27)","(22,6)",c3,A,True,220,161,41,h2
"(23,27)","(22,6)",c4,GBFS,True,223,68,23,h2
"(23,27)","(22,6)",c4,A,True,219,93,24,h2
"(22,8)","(2,21)",c1,GBFS,True,330,101,34,h1
"(22,8)","(2,21)",c1,A,True,330,1585,397,h1
"(22,8)","(2,21)",c2,GBFS,True,430,101,34,h1
"(22,8)","(2,21)",c2,A,True,430,2427,610,h1
"(22,8)","(2,21)",c3,GBFS,True,370,101,34,h1
"(22,8)","(2,21)",c3,A,True,357,1789,448,h1
"(22,8)","(2,21)",c4,GBFS,True,322,101,34,h1
"(22,8)","(2,21)",c4,A,True,284,961,241,h1
"(22,8)","(2,21)",c1,GBFS,True,330,101,34,h2
"(22,8)","(2,21)",c1,A,True,330,1173,294,h2
"(22,8)","(2,21)",c2,GBFS,True,430,101,34,h2
"(22,8)","(2,21)",c2,A,True,430,1805,452,h2
"(22,8)","(2,21)",c3,GBFS,True,376,101,34,h2
"(22,8)","(2,21)",c3,A,True,357,1129,283,h2
"(22,8)","(2,21)",c4,GBFS,True,321,101,34,h2
"(22,8)","(2,21)",c4,A,True,278,173,44,h2
"(0,0)","(6,22)",c1,GBFS,True,280,68,29,h1
"(0,0)","(6,22)",c1,A,True,280,611,161,h1
"(0,0)","(6,22)",c2,GBFS,True,310,68,29,h1
"(0,0)","(6,22)",c2,A,True,310,633,167,h1
"(0,0)","(6,22)",c3,GBFS,True,298,68,29,h1
"(0,0)","(6,22)",c3,A,True,281,524,139,h1
"(0,0)","(6,22)",c4,GBFS,True,284,68,29,h1
"(0,0)","(6,22)",c4,A,True,255,475,125,h1
"(0,0)","(6,22)",c1,GBFS,True,280,78,29,h2
"(0,0)","(6,22)",c1,A,True,280,611,161,h2
"(0,0)","(6,22)",c2,GBFS,True,310,78,29,h2
"(0,0)","(6,22)",c2,A,True,310,622,164,h2
"(0,0)","(6,22)",c3,GBFS,True,289,78,29,h2
"(0,0)","(6,22)",c3,A,True,281,369,99,h2
"(0,0)","(6,22)",c4,GBFS,True,283,78,29,h2
"(0,0)","(6,22)",c4,A,True,265,108,29,h2
"(8,14)","(5,21)",c1,GBFS,True,100,32,11,h1
"(8,14)","(5,21)",c1,A,True,100,149,38,h1
"(8,14)","(5,21)",c2,GBFS,True,115,32,11,h1
"(8,14)","(5,21)",c2,A,True,115,169,43,h1
"(8,14)","(5,21)",c3,GBFS,True,109,32,11,h1
"(8,14)","(5,21)",c3,A,True,101,121,31,h1
"(8,14)","(5,21)",c4,GBFS,True,91,32,11,h1
"(8,14)","(5,21)",c4,A,True,90,73,19,h1
"(8,14)","(5,21)",c1,GBFS,True,100,32,11,h2
"(8,14)","(5,21)",c1,A,True,100,125,32,h2
"(8,14)","(5,21)",c2,GBFS,True,115,32,11,h2
"(8,14)","(5,21)",c2,A,True,115,125,32,h2
"(8,14)","(5,21)",c3,GBFS,True,106,32,11,h2
"(8,14)","(5,21)",c3,A,True,101,81,21,h2
"(8,14)","(5,21)",c4,GBFS,True,106,32,11,h2
"(8,14)","(5,21)",c4,A,True,97,41,11,h2
"(11,16)","(14,28)",c1,GBFS,True,150,47,16,h1
"(11,16)","(14,28)",c1,A,True,150,257,65,h1
"(11,16)","(14,28)",c2,GBFS,True,165,47,16,h1
"(11,16)","(14,28)",c2,A,True,165,289,73,h1
"(11,16)","(14,28)",c3,GBFS,True,156,47,16,h1
"(11,16)","(14,28)",c3,A,True,151,221,56,h1
"(11,16)","(14,28)",c4,GBFS,True,144,47,16,h1
"(11,16)","(14,28)",c4,A,True,137,145,37,h1
"(11,16)","(14,28)",c1,GBFS,True,150,47,16,h2
"(11,16)","(14,28)",c1,A,True,150,205,52,h2
"(11,16)","(14,28)",c2,GBFS,True,165,47,16,h2
"(11,16)","(14,28)",c2,A,True,165,205,52,h2
"(11,16)","(14,28)",c3,GBFS,True,156,47,16,h2
"(11,16)","(14,28)",c3,A,True,151,157,40,h2
"(11,16)","(14,28)",c4,GBFS,True,156,47,16,h2
"(11,16)","(14,28)",c4,A,True,147,61,16,h2
"(8,28)","(1,3)",c1,GBFS,True,320,98,33,h1
"(8,28)","(1,3)",c1,A,True,320,1141,287,h1
"(8,28)","(1,3)",c2,GBFS,True,355,98,33,h1
"(8,28)","(1,3)",c2,A,True,355,1285,324,h1
"(8,28)","(1,3)",c3,GBFS,True,341,98,33,h1
"(8,28)","(1,3)",c3,A,True,322,1065,268,h1
"(8,28)","(1,3)",c4,GBFS,True,320,98,33,h1
"(8,28)","(1,3)",c4,A,True,290,757,190,h1
"(8,28)","(1,3)",c1,GBFS,True,320,98,33,h2
"(8,28)","(1,3)",c1,A,True,320,829,208,h2
"(8,28)","(1,3)",c2,GBFS,True,355,98,33,h2
"(8,28)","(1,3)",c2,A,True,355,965,242,h2
"(8,28)","(1,3)",c3,GBFS,True,332,98,33,h2
"(8,28)","(1,3)",c3,A,True,322,561,141,h2
"(8,28)","(1,3)",c4,GBFS,True,320,98,33,h2
"(8,28)","(1,3)",c4,A,True,301,129,33,h2
"(12,7)","(18,30)",c1,GBFS,True,290,89,30,h1
"(12,7)","(18,30)",c1,A,True,290,911,230,h1
"(12,7)","(18,30)",c2,GBFS,True,320,89,30,h1
"(12,7)","(18,30)",c2,A,True,320,1018,257,h1
"(12,7)","(18,30)",c3,GBFS,True,302,89,30,h1
"(12,7)","(18,30)",c3,A,True,291,815,206,h1
"(12,7)","(18,30)",c4,GBFS,True,289,89,30,h1
"(12,7)","(18,30)",c4,A,True,265,637,160,h1
"(12,7)","(18,30)",c1,GBFS,True,290,89,30,h2
"(12,7)","(18,30)",c1,A,True,290,663,168,h2
"(12,7)","(18,30)",c2,GBFS,True,320,89,30,h2
"(12,7)","(18,30)",c2,A,True,320,770,195,h2
"(12,7)","(18,30)",c3,GBFS,True,299,89,30,h2
"(12,7)","(18,30)",c3,A,True,291,331,85,h2
"(12,7)","(18,30)",c4,GBFS,True,293,89,30,h2
"(12,7)","(18,30)",c4,A,True,275,117,30,h2
"(24,26)","(5,2)",c1,GBFS,True,430,131,44,h1
"(24,26)","(5,2)",c1,A,True,430,2648,668,h1
"(24,26)","(5,2)",c2,GBFS,True,525,131,44,h1
"(24,26)","(5,2)",c2,A,True,525,2993,764,h1
"(24,26)","(5,2)",c3,GBFS,True,470,131,44,h1
"(24,26)","(5,2)",c3,A,True,446,2604,658,h1
"(24,26)","(5,2)",c4,GBFS,True,417,131,44,h1
"(24,26)","(5,2)",c4,A,True,371,1733,434,h1
"(24,26)","(5,2)",c1,GBFS,True,430,131,44,h2
"(24,26)","(5,2)",c1,A,True,430,1997,500,h2
"(24,26)","(5,2)",c2,GBFS,True,525,131,44,h2
"(24,26)","(5,2)",c2,A,True,525,2595,654,h2
